compound,smiles,logS,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms
benzene,c1ccccc1,-1.79,78.11399999999999,1.6866,0,0,0.0,0,1,1,6,26.441999999999993,0.0,0,71.96100505779535,4.242640687119286,3.0,3.4115708812260532,1.6057694396735218,37.43140311949697,0
toluene,Cc1ccccc1,-2.0,92.14099999999999,1.99502,0,0,0.0,0,1,1,7,31.17899999999999,0.14285714285714285,0,129.96566024533826,5.112884175122364,3.393846850117352,4.380771704180065,1.7832860398554335,43.79634523389357,0
ethylbenzene,CCc1ccccc1,-2.4,106.16799999999996,2.2490000000000006,0,0,0.0,1,1,1,8,35.82,0.25,0,141.38429890473827,5.819990956308912,3.931851652578137,5.358504155124653,2.50834780755501,50.16128734829017,0
o-xylene,Cc1ccccc1C,-2.31,106.16799999999999,2.30344,0,0,0.0,0,1,1,8,35.916,0.25,0,156.14811391899892,5.983127663125442,3.804530452640311,5.358504155124653,1.9937447122872558,50.16128734829018,0
styrene,C=Cc1ccccc1,-2.05,104.15199999999997,2.3296,0,0,0.0,1,1,1,8,36.53300000000001,0.0,0,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584,49.47168431610592,0
chlorobenzene,Clc1ccccc1,-2.55,112.55899999999997,2.34,0,0,0.0,0,1,1,7,31.451999999999998,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.663609831029186,1.9871232675119368,47.73466934637863,1
bromobenzene,Brc1ccccc1,-2.78,157.01,2.4491000000000005,0,0,0.0,0,1,1,7,34.142,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.849253731343284,2.123680215888008,51.298950725138326,1
fluorobenzene,Fc1ccccc1,-1.1,96.10399999999998,1.8256999999999999,0,0,0.0,0,1,1,7,26.399999999999995,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.31260162601626,1.7349674800723753,41.596938522423194,1
iodobenzene,Ic1ccccc1,-2.1,204.01000000000002,2.2912,0,0,0.0,0,1,1,7,39.15900000000001,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,5.09388489208633,2.3067105731577073,56.6932412405406,1
aniline,Nc1ccccc1,-0.33,93.12899999999999,1.2688000000000001,1,1,26.02,0,1,1,7,30.8544,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.771293816509676,1
phenol,Oc1ccccc1,-0.29,94.11299999999999,1.3921999999999999,1,1,20.23,0,1,1,7,28.106799999999993,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.22563687169298,1
nitrobenzene,O=[N+]([O-])c1ccccc1,-1.85,123.11099999999996,1.5948,0,2,43.14,1,1,1,9,33.0964,0.0,0,207.5576620543373,6.69023444431199,4.304530452640311,5.751233595800525,2.2593342006647616,52.08437884199676,3
acetophenone,CC(=O)c1ccccc1,-1.21,120.15099999999995,1.8892,0,1,17.07,1,1,1,9,36.44650000000001,0.125,0,201.06743705866424,6.69023444431199,4.304530452640311,6.016742712294044,2.4437525520871133,54.32280944833394,1
benzaldehyde,O=Cc1ccccc1,-1.04,106.12399999999997,1.4990999999999999,0,1,17.07,1,1,1,8,31.829499999999992,0.0,0,167.00151696675914,5.819990956308912,3.931851652578137,5.035137880986937,2.262450086021194,47.95786733393734,1
benzoic acid,OC(=O)c1ccccc1,-1.88,122.12299999999996,1.3848,1,1,37.3,1,1,1,9,33.4013,0.0,0,203.415952604261,6.69023444431199,4.304530452640311,5.820039011703511,2.306763635550358,52.75210108613335,2
salicylic acid,OC(=O)c1ccccc1O,-1.44,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,1,10,35.066100000000006,0.0,0,254.78306142431708,7.560477932315068,4.71521405516327,6.607785630153122,2.389632707443791,57.54633483832936,3
aspirin,CC(=O)Oc1ccccc1C(=O)O,-1.19,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,1,13,44.71030000000002,0.1111111111111111,0,343.2228677267164,9.844934982691242,6.109060905280622,9.249605734767023,3.7092512583454584,74.75705264447721,4
benzonitrile,N#Cc1ccccc1,-1.11,103.12399999999997,1.5582799999999999,0,1,23.79,0,1,1,8,31.156999999999996,0.0,0,195.37685258695325,5.819990956308912,3.931851652578137,4.85903129657228,2.13092991566867,48.188924915362286,1
anisole,COc1ccccc1,-1.02,108.13999999999997,1.6952,0,1,9.23,1,1,1,8,32.99399999999999,0.14285714285714285,0,145.73281445033504,5.819990956308912,3.931851652578137,5.162450142450142,2.3586048594225155,48.90989046340045,1
catechol,Oc1ccccc1O,-0.29,110.11199999999998,1.0977999999999999,2,2,40.46,0,1,1,8,29.771599999999992,0.0,0,162.63833891467198,5.983127663125442,3.804530452640311,4.966627565982405,1.7381205361963379,47.01987062388899,2
resorcinol,Oc1cccc(O)c1,0.0,110.11199999999998,1.0977999999999999,2,2,40.46,0,1,1,8,29.771599999999992,0.0,0,166.38833891467198,5.983127663125442,3.787693700234704,4.966627565982405,1.7381205361963379,47.01987062388899,2
hydroquinone,Oc1ccc(O)cc1,0.2,110.11199999999998,1.0977999999999999,2,2,40.46,0,1,1,8,29.771599999999996,0.0,0,145.38833891467198,5.983127663125442,3.787693700234704,4.966627565982405,1.7381205361963379,47.01987062388899,2
p-cresol,Cc1ccc(O)cc1,-0.3,108.13999999999999,1.7006199999999998,1,1,20.23,0,1,1,8,32.843799999999995,0.14285714285714285,0,143.24662946459569,5.983127663125442,3.787693700234704,5.162450142450142,1.8646221994975438,48.59057898608958,1
o-cresol,Cc1ccccc1O,-0.36,108.13999999999999,1.70062,1,1,20.23,0,1,1,8,32.843799999999995,0.14285714285714285,0,160.49662946459569,5.983127663125442,3.804530452640311,5.162450142450142,1.8646221994975438,48.59057898608958,1
4-nitrophenol,Oc1ccc([N+](=O)[O-])cc1,-1.71,139.11,1.3003999999999998,1,3,63.370000000000005,1,1,1,10,34.76120000000001,0.0,0,241.67477087439332,7.560477932315068,4.698377302757663,6.538764845605701,2.344994095834573,56.878612594192774,4
2-nitrophenol,Oc1ccccc1[N+](=O)[O-],-0.96,139.10999999999999,1.3004000000000002,1,3,63.370000000000005,1,1,1,10,34.7612,0.0,0,258.9247708743934,7.560477932315068,4.71521405516327,6.538764845605701,2.344994095834573,56.87861259419278,4
4-chlorophenol,Oc1ccc(Cl)cc1,-0.64,128.558,2.0456,1,1,20.23,0,1,1,8,33.1168,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,5.446798905608755,2.052669547891518,52.52890309857465,2
2-chlorophenol,Oc1ccccc1Cl,-1.25,128.558,2.0456000000000003,1,1,20.23,0,1,1,8,33.1168,0.0,0,164.63833891467198,5.983127663125442,3.804530452640311,5.446798905608755,2.052669547891518,52.52890309857465,2
4-aminophenol,Nc1ccc(O)cc1,0.25,109.12799999999999,0.9743999999999999,2,2,46.25,0,1,1,8,32.5192,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,4.966627565982405,1.7381205361963379,47.56552756870569,2
vanillin,COc1ccc(C=O)cc1O,-1.72,152.14899999999997,1.2132999999999998,1,3,46.53,2,1,1,11,40.046300000000016,0.125,0,268.03972257956417,8.267584713501616,5.274386907679232,7.595374077976819,3.0531381005525,64.23058843003683,3
naphthalene,c1ccc2ccccc2c1,-3.3,128.17399999999995,2.839800000000001,0,0,0.0,0,2,2,10,43.94800000000003,0.0,0,271.01518240905483,6.811554787871634,4.9663264951887856,5.482229779997874,2.143052886105772,60.11306765123217,0
anthracene,c1ccc2cc3ccccc3cc2c1,-5.0,178.23399999999995,3.993000000000002,0,0,0.0,0,3,3,14,61.45400000000003,0.0,0,488.75909858914036,9.38046888862398,6.932652990377571,7.571439103526888,2.8450836230123144,82.79473218296737,0
phenanthrene,c1ccc2c(c1)ccc1ccccc12,-4.45,178.23399999999998,3.993000000000002,0,0,0.0,0,3,3,14,61.454000000000036,0.0,0,539.0090985891403,9.38046888862398,6.949489742783178,7.571439103526888,2.8450836230123144,82.79473218296738,0
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-5.18,202.25599999999997,4.584000000000002,0,0,0.0,0,4,4,16,70.14600000000003,0.0,0,666.6198058168793,10.535169427003233,7.932652990377569,8.11640192478581,2.732404740131078,93.45542159483816,0
fluorene,C1c2ccccc2-c2ccccc21,-3.93,166.22299999999998,3.2578000000000014,0,0,0.0,0,2,3,13,54.684000000000026,0.07692307692307693,1,411.60041905516795,8.673362107437432,6.449489742783179,6.902850765306124,2.4617954580094508,77.84760828642837,0
1-naphthol,Oc1cccc2ccccc12,-2.84,144.17299999999997,2.5454000000000008,1,1,20.23,0,2,2,11,45.61280000000003,0.0,0,374.03449039867843,7.681798275874712,5.377010097711745,6.22562358276644,2.274078478002378,64.90730140342818,1
2-naphthol,Oc1ccc2ccccc2c1,-2.7,144.17299999999997,2.5454,1,1,20.23,0,2,2,11,45.61280000000002,0.0,0,379.28449039867843,7.681798275874712,5.360173345306137,6.22562358276644,2.274078478002378,64.90730140342819,1
biphenyl,c1ccc(-c2ccccc2)cc1,-3.9,154.21199999999996,3.353600000000001,0,0,0.0,1,2,2,12,51.87800000000003,0.0,0,297.4313204906765,8.225768350244728,5.9663264951887856,7.108736857548047,3.2249464015776437,72.48849732556099,0
diphenyl ether,c1ccc(Oc2ccccc2)cc1,-3.5,170.21099999999998,3.478900000000001,0,1,9.23,2,2,2,13,52.958000000000034,0.0,0,315.89864866417315,8.932875131431276,6.449489742783179,7.866895638429664,3.7642110484220974,77.60204255506788,1
p-dichlorobenzene,Clc1ccc(Cl)cc1,-3.5,147.00400000000002,2.993400000000001,0,0,0.0,0,1,1,8,36.46200000000001,0.0,0,145.38833891467198,5.983127663125442,3.787693700234704,5.9282051282051285,2.3818408996251557,58.037935573260306,2
"1,2,4-trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-4.2,181.449,3.6468000000000007,0,0,0.0,0,1,1,9,41.47200000000001,0.0,0,219.54299954784685,6.8533711511285205,4.198377302757663,7.200011001100109,2.7822002817304186,68.34120180014197,3
2-methylnaphthalene,Cc1ccc2cccc(C)c2c1,-3.2,156.22799999999998,3.456640000000002,0,0,0.0,0,2,2,12,53.42200000000003,0.16666666666666666,0,413.3078661934481,8.55204176387779,5.770856947829096,7.354540141719628,2.6325540535695073,72.84295188002538,0
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.07,194.194,-1.0293,0,3,61.82,0,2,2,14,51.19600000000001,0.375,0,616.5285919942219,10.455665446700477,6.5365812602091875,8.73523326923911,2.5679479011227926,79.02895701814933,6
pyridine,c1ccncc1,0.65,79.10199999999998,1.0816,0,1,12.89,0,1,1,6,24.236999999999995,0.0,0,75.86113958768547,4.242640687119286,3.0,3.3441747572815532,1.5525827127910268,36.651051100443475,1
quinoline,c1ccnc2ccccc12,-1.87,129.16199999999995,2.2348,0,1,12.89,0,2,2,10,41.74300000000002,0.0,0,275.7051383449476,6.811554787871634,4.9663264951887856,5.41760450263056,2.102543034625171,59.33271563217868,1
indole,c1ccc2[nH]ccc2c1,-1.81,117.15099999999997,2.1678999999999995,1,0,15.79,0,2,2,9,38.29870000000001,0.0,0,278.54542122074673,6.104448006685086,4.4663264951887856,4.621116323679656,1.6217242815493544,53.322228072246475,1
thiophene,c1ccsc1,-1.33,84.14299999999999,1.7480999999999998,0,1,0.0,0,1,1,5,24.318999999999996,0.0,0,60.12481811269772,3.5355339059327378,2.5,2.9127659574468083,1.2210502489814397,35.07176638990846,1
imidazole,c1cnc[nH]1,0.72,68.079,0.40969999999999995,1,1,28.68,0,1,1,5,18.5877,0.0,0,61.369930610534254,3.5355339059327378,2.5,2.4475296912114013,0.8845561128632765,29.860211521457774,2
caprolactam,O=C1CCCCCN1,0.07,113.16000000000001,0.6766000000000001,1,1,29.1,0,0,1,8,31.477699999999988,0.8333333333333334,1,80.52932501298082,5.819990956308912,3.893846850117352,5.603868808567603,2.6984359410043637,49.26951472993517,2
cyclohexane,C1CCCCC1,-3.44,84.162,2.3406000000000002,0,0,0.0,0,0,1,6,27.701999999999984,1.0,1,15.509775004326936,4.242640687119286,3.0,4.166666666666667,2.2222222222222223,39.55813044628337,0
cyclohexanol,OC1CCCCC1,-0.65,100.161,1.3114,1,1,20.23,0,0,1,7,29.091799999999985,1.0,1,46.14170945007629,5.112884175122364,3.393846850117352,5.10367816091954,2.3141072195146584,44.35236419847938,1
cyclohexanone,O=C1CCCCC1,-1.42,98.14500000000001,1.5196,0,1,17.07,0,0,1,7,28.091999999999985,0.8333333333333334,1,68.24920506009684,5.112884175122364,3.393846850117352,4.8199250374812594,2.101967961325131,43.719652546327126,1
methylcyclohexane,CC1CCCCC1,-3.93,98.18900000000001,2.5866000000000007,0,0,0.0,0,0,1,7,32.24899999999998,1.0,1,42.0,5.112884175122364,3.393846850117352,5.142857142857143,2.34375,45.92307256067996,0
hexane,CCCCCC,-3.85,86.178,2.5866000000000007,0,0,0.0,3,0,0,6,29.81599999999998,1.0,0,12.0,4.82842712474619,2.914213562373095,6.0,5.0,40.563961599812586,0
