compound,smiles,bp_celsius,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters
methane,C,-161.5,16.043,0.6361,0,0,0.0,0,0,0,1,6.731,1.0,0,0.0,0.0,0.0,0.0,0.0,8.739251027829551,0,-0.0775578911930755,-0.0775578911930755,0
ethane,CC,-88.6,30.07,1.0262,0,0,0.0,0,0,0,2,11.348000000000004,1.0,0,0.0,2.0,1.0,2.0,0.0,15.104193142226158,0,-0.0682623834205916,-0.0682623834205916,0
propane,CCC,-42.1,44.097,1.4163,0,0,0.0,0,0,0,3,15.965000000000003,1.0,0,0.0,2.7071067811865475,1.4142135623730951,3.0,2.0,21.469135256622767,0,-0.0590383639290487,-0.0656454412102395,0
butane,CCCC,-0.5,58.124,1.8064,0,0,0.0,1,0,0,4,20.582,1.0,0,2.0,3.414213562373095,1.914213562373095,4.0,3.0,27.834077371019376,0,-0.0564343704175863,-0.0653924428808516,0
pentane,CCCCC,36.1,72.151,2.1965000000000003,0,0,0.0,2,0,0,5,25.19899999999999,1.0,0,7.509775004326936,4.121320343559642,2.414213562373095,5.0,4.0,34.19901948541599,0,-0.0538313154318367,-0.0653825553793841,0
hexane,CCCCCC,68.7,86.178,2.5866000000000007,0,0,0.0,3,0,0,6,29.81599999999998,1.0,0,12.0,4.82842712474619,2.914213562373095,6.0,5.0,40.563961599812586,0,-0.0535787022523684,-0.0653823845981235,0
heptane,CCCCCCC,98.4,100.205,2.976700000000002,0,0,0.0,4,0,0,7,34.432999999999986,1.0,0,19.219280948873624,5.535533905932738,3.414213562373095,7.0,6.0,46.92890371420919,0,-0.0533260917522132,-0.0653823832280402,0
octane,CCCCCCCC,125.7,114.232,3.3668000000000022,0,0,0.0,5,0,0,8,39.05,1.0,0,25.019550008653876,6.242640687119286,3.914213562373095,8.0,7.0,53.29384582860581,0,-0.0533162045438967,-0.0653823832228023,0
nonane,CCCCCCCCC,150.8,128.259,3.7569000000000026,0,0,0.0,6,0,0,9,43.667000000000016,1.0,0,33.30296890880646,6.949747468305834,4.414213562373095,9.0,8.0,59.658787943002416,0,-0.0533063173371722,-0.0653823832227926,0
decane,CCCCCCCCCC,174.1,142.286,4.147000000000004,0,0,0.0,7,0,0,10,48.28400000000003,1.0,0,40.0,7.656854249492381,4.914213562373096,10.0,9.0,66.02373005739904,0,-0.0533061464398628,-0.0653823832227926,0
undecane,CCCCCCCCCCC,195.9,156.313,4.537100000000004,0,0,0.0,8,0,0,11,52.90100000000004,1.0,0,49.05865002596163,8.36396103067893,5.414213562373096,11.0,10.0,72.38867217179563,0,-0.0533059755425536,-0.0653823832227926,0
dodecane,CCCCCCCCCCCC,216.3,170.33999999999995,4.9272000000000045,0,0,0.0,9,0,0,12,57.51800000000005,1.0,0,56.43856189774725,9.071067811865476,5.914213562373096,12.0,11.0,78.75361428619225,0,-0.0533059741710883,-0.0653823832227926,0
tetradecane,CCCCCCCCCCCCCC,253.5,198.39399999999995,5.707400000000006,0,0,0.0,11,0,0,14,66.75200000000007,1.0,0,74.03910001730775,10.485281374238571,6.914213562373096,14.0,13.0,91.48349851498548,0,-0.053305972794379,-0.0653823832227926,0
hexadecane,CCCCCCCCCCCCCCCC,286.9,226.44799999999992,6.487600000000007,0,0,0.0,13,0,0,16,75.98600000000008,1.0,0,92.6059378176129,11.899494936611667,7.914213562373096,16.0,15.0,104.2133827437787,0,-0.0533059727891253,-0.0653823832227926,0
isobutane,CC(C)C,-11.7,58.124,1.6623,0,0,0.0,0,0,0,4,20.512,1.0,0,4.754887502163469,3.5773502691896257,1.7320508075688772,4.0,1.3333333333333333,27.83407737101937,0,-0.0499860811430797,-0.0630372541818288,0
