compound,smiles,logP_exp,MW,LogP_rdkit,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters,SlogP_VSA3,PEOE_VSA1
methanol,CO,-0.77,32.042,-0.3915,1,1,20.23,0,0,0,2,8.1428,1.0,0,2.0,2.0,1.0,1.96,0.9600000000000016,13.533484780025564,1,0.031940683717728124,-0.3996302435573072,0,0.0,5.106527394840706
ethanol,CCO,-0.31,46.069,-0.0014000000000000123,1,1,20.23,0,0,0,3,12.759800000000002,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,19.89842689442217,1,0.04022058174908642,-0.3966637147812598,0,0.0,5.106527394840706
ethylene glycol,OCCO,-1.36,62.068000000000005,-1.0290000000000001,2,2,40.46,1,0,0,4,14.171600000000002,1.0,0,6.0,3.414213562373095,1.914213562373095,3.9200000000000004,2.92,24.69266064661818,2,0.06622663964681728,-0.3939905415754596,0,0.0,10.213054789681411
glycerol,OCC(O)CO,-1.76,92.09400000000001,-1.6681000000000001,3,3,60.69,2,0,0,6,20.1784,1.0,0,25.219280948873624,4.99156383156272,2.808060412490447,5.88,3.0849180327868857,35.851836513210806,3,0.10004702601723478,-0.3935933161206694,0,0.0,15.319582184522117
acetic acid,CC(=O)O,-0.17,60.05200000000001,0.09089999999999993,1,1,37.3,0,0,0,4,13.309800000000001,0.5,0,27.019550008653873,3.5773502691896257,1.7320508075688772,3.4699999999999998,0.8748582995951415,24.059948994465934,2,0.2996845531582142,-0.481433475172105,0,4.794537184071822,5.106527394840706
formic acid,OC=O,-0.54,46.025,-0.29919999999999997,1,1,37.3,0,0,0,3,8.6928,0.0,0,10.264662506490405,2.7071067811865475,1.4142135623730951,2.4699999999999993,1.4699999999999982,17.69500688006933,2,0.29012882761761255,-0.483466609975982,0,4.794537184071822,5.106527394840706
urea,NC(N)=O,-2.11,60.056,-0.9762000000000002,2,1,69.11,0,0,0,4,13.7708,0.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,3.2700000000000005,0.7105286343612336,23.580554521898744,3,0.309056401422831,-0.3518462395056391,0,0.0,11.46733495432437
glycine,NCC(=O)O,-3.21,75.067,-0.9702999999999999,2,2,63.32000000000001,1,0,0,5,16.6902,0.5,0,42.91260938324327,4.284457050376173,2.270055610029662,4.43,1.7215451895043727,29.39983969147865,3,0.31675597840558584,-0.4802971300243957,0,4.794537184071822,10.84019487200289
alanine,CC(N)C(=O)O,-2.85,89.09399999999998,-0.5817999999999999,2,2,63.32000000000001,1,0,0,6,21.285200000000003,0.6666666666666666,0,59.813537528125096,5.1547005383792515,2.6427344100918364,5.43,1.7676338396942162,35.76478180587526,3,0.3196779563386595,-0.4800942338470611,1,4.794537184071822,10.84019487200289
glucose,OCC1OC(O)C(O)C(O)C1O,-3.24,180.156,-3.2214000000000005,5,6,110.38000000000001,1,0,1,12,35.986,1.0,1,146.2188491003481,9.300964908321225,5.574586062669973,9.845034013605442,3.6489161032347726,68.64284443677029,6,0.183570328512782,-0.3935665160029449,5,4.736862953800049,30.269499928003576
sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-3.7,342.297,-5.395599999999993,8,11,189.52999999999997,5,0,2,23,68.64140000000003,1.0,2,393.2032272794937,17.361442840636293,10.806896738665586,18.89235232228663,7.207281294562587,130.4364576852225,11,0.2235503336827939,-0.39356651499978823,9,14.210588861400147,55.062808020125786
