compound,smiles,mutagenic,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumNitrogens,NumOxygens,NumHalogens,NumSulfurs,HasNitroGroup,HasNitroso,HasAromaticAmine,HasAlkylHalide
2-nitrofluorene,O=[N+]([O-])c1ccc2cc3ccccc3cc2c1,1,223.231,3.901200000000002,0,2,43.14,1,3,3,17,68.10840000000002,0.0,0,734.4562652641641,11.828062645816686,8.237183443017882,9.781107035232184,3.55710999635206,97.44770790546718,3,0.2695661120628807,-0.25830932519570377,1,2,0,0,0,0,0,0
2-acetylaminofluorene,CC(=O)Nc1ccc2cc3ccccc3cc2c1,1,235.286,3.9514000000000022,1,1,29.1,1,3,3,18,75.75770000000003,0.0625,0,746.2611131494824,12.535169427003234,8.720346690612276,10.782020961567781,4.148854348346499,105.23600069541241,2,0.2207477381208965,-0.326316380060032,1,1,0,0,0,0,0,0
4-nitroquinoline N-oxide,O=[N+]([O-])c1ccc2ncccc2c1,1,174.159,2.143,0,3,56.03,1,2,2,13,48.397400000000026,0.0,0,467.8762845243794,9.259148545064338,6.270856947829096,7.6673647482844585,2.8199872043704444,73.98569135467848,4,0.26967983526635403,-0.2583093126081448,2,2,0,0,0,0,1,0
1-nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1,247.253,4.492200000000002,0,2,43.14,1,4,4,19,76.80040000000004,0.0,0,927.5168646967957,12.982763184195939,9.254020195423491,10.261797512956033,3.4173259723894986,108.10839731733796,3,0.2767532674649996,-0.2582903621078463,1,2,0,0,0,0,0,0
nitrobenzene,O=[N+]([O-])c1ccccc1,1,123.11099999999996,1.5948,0,2,43.14,1,1,1,9,33.0964,0.0,0,207.5576620543373,6.69023444431199,4.304530452640311,5.751233595800525,2.2593342006647616,52.08437884199676,3,0.2689216270439583,-0.2583096384435056,1,2,0,0,0,0,0,0
2-nitrotoluene,Cc1ccccc1[N+](=O)[O-],1,137.138,1.9032200000000001,0,2,43.14,1,1,1,10,37.83340000000001,0.14285714285714285,0,257.53794892648057,7.560477932315068,4.71521405516327,6.7360092807424605,2.4731969036707446,58.44932095639337,3,0.271791321288604,-0.2583009410225935,1,2,0,0,1,0,0,0
4-nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,1,137.138,1.90322,0,2,43.14,1,1,1,10,37.83340000000002,0.14285714285714285,0,240.2879489264805,7.560477932315068,4.698377302757663,6.7360092807424605,2.4731969036707446,58.449320956393365,3,0.26894145561733507,-0.25830963621589803,1,2,0,0,1,0,0,0
"2,4-dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,182.135,1.81142,0,4,86.28,2,1,1,13,44.487800000000014,0.14285714285714285,0,374.7553335743196,10.008071689507773,6.019744507803581,9.110744101633394,3.176550566473556,73.10229667889315,6,0.278670384106092,-0.25830597628015206,2,4,0,0,1,0,0,0
"2,6-dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1,182.13499999999996,1.81142,0,4,86.28,2,1,1,13,44.487800000000014,0.14285714285714285,0,342.5053335743196,10.008071689507773,6.036581260209188,9.110744101633394,3.176550566473556,73.10229667889315,6,0.278684380944421,-0.25829726349153237,2,4,0,0,1,0,0,0
"1,3-dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1,168.10799999999998,1.503,0,4,86.28,2,1,1,12,39.75080000000001,0.0,0,306.8248996548373,9.137828201504695,5.6090609052806215,8.119800399201598,2.9516118607817234,66.73735456449656,6,0.27580108571268735,-0.258305978673261,2,4,0,0,1,0,0,0
