name,smiles,family,mw,logp,hbd,hba,rotbonds,arom_rings,total_rings,tpsa,heavy_atoms,frac_csp3,mol_refractivity,nhoh,no_count,planarity_score,pi_extent,fp_density,fluoro_substitution,space_uv_factor,bandgap_ev,abs_efficiency
Pentacene,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,acene,278.354,6.299400000000003,0,0,0,5,5,0.0,22,0.0,96.46600000000004,0,0,1.0,30,0.021484375,0.0,0.0,2.7,0.85
Tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,acene,228.29399999999998,5.146200000000003,0,0,0,4,4,0.0,18,0.0,78.96000000000002,0,0,1.0,24,0.021484375,0.0,0.0,2.4,0.8
Hexacene,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,acene,328.41400000000004,7.452600000000003,0,0,0,6,6,0.0,26,0.0,113.97200000000004,0,0,1.0,36,0.021484375,0.0,0.0,3.0,0.87
Rubrene_unit,c1ccc(-c2cc3ccccc3cc2)cc1,acene,204.272,4.506800000000003,0,0,1,3,3,0.0,16,0.0,69.38400000000004,0,0,1.0,18,0.03515625,0.0,0.0,3.1,0.88
Chrysene,c1ccc2cc3ccccc3cc2c1,PAH,178.23399999999995,3.993000000000002,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.01953125,0.0,0.0,2.5,0.78
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,PAH,202.25599999999997,4.584000000000002,0,0,0,4,4,0.0,16,0.0,70.14600000000003,0,0,1.0,24,0.021484375,0.0,0.0,2.6,0.79
Triphenylene,c1ccc2cc3ccccc3cc2c1,PAH,178.23399999999995,3.993000000000002,0,0,0,3,3,0.0,14,0.0,61.45400000000003,0,0,1.0,18,0.01953125,0.0,0.0,2.8,0.81
Fluorene,c1ccc2c(c1)Cc1ccccc1-2,PAH,166.22299999999998,3.2578000000000014,0,0,0,2,3,0.0,13,0.07692307692307693,54.684000000000026,0,0,0.9230769230769231,16,0.02734375,0.0,0.0,2.0,0.7
Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,PAH,300.36000000000007,6.919200000000002,0,0,0,7,7,0.0,24,0.0,105.03600000000007,0,0,1.0,42,0.015625,0.0,0.0,3.6,0.9
Perylene,C1=C2C=CC=CC2=C2C=CC=CC2=C2C=CC=CC12,rylene,242.321,2.6605800000000013,0,0,0,2,4,0.0,19,0.05263157894736842,79.44900000000001,0,0,0.631578947368421,20,0.052734375,0.0,0.0,3.0,0.84
P3HT_unit,CCCCCCc1ccc(s1),donor,168.305,3.8709000000000033,0,1,5,1,1,0.0,11,0.6,52.16500000000004,0,0,0.45454545454545453,6,0.046875,0.0,0.0,2.1,0.71
DPP_core,O=C1c2ccccc2C(=O)N1c1ccccc1,donor,223.231,2.4872000000000005,0,2,1,2,3,37.38,17,0.0,64.02400000000003,0,3,0.7058823529411765,16,0.037109375,0.0,0.0,2.4,0.78
Carbazole,c1ccc2[nH]c3ccccc3c2c1,donor,167.21099999999998,3.3211000000000013,1,0,0,3,3,15.79,13,0.0,55.80470000000002,1,1,1.0,18,0.025390625,0.0,0.0,2.2,0.73
BTR_unit,c1cc2c(s1)-c1sccc1-2,donor,164.254,3.4570000000000007,0,2,0,2,3,0.0,10,0.0,46.626000000000005,0,0,1.0,16,0.025390625,0.0,0.0,2.3,0.76
PDI_core,O=C1c2cccc3cccc4cccc(c2c3c14)C(=O)N1CCCCC1,PDI,341.4100000000002,3.663400000000002,0,2,1,0,5,37.38,26,0.21739130434782608,101.15900000000002,0,3,0.0,20,0.0703125,0.0,0.0,3.8,0.92
IT4F_core,O=C1C(=Cc2sc3c(c2)c2c(cc3)CCCC2)c2ccc(F)c(F)c2C1=O,NFA,380.415,5.364300000000003,0,3,1,3,5,34.14,27,0.18181818181818182,102.03350000000006,0,2,0.5555555555555556,26,0.091796875,0.0,0.0,4.1,0.93
Triazine_acc,c1ncnc(c1)-c1ccncc1,BN_mat,157.17599999999996,1.5385999999999997,0,3,1,2,2,38.67,12,0.0,45.26300000000002,0,3,1.0,12,0.037109375,0.0,0.0,1.8,0.65
